Retailer Name,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand7,Brand8,Brand9,Brand10,Brand11,Brand12,Total Sales,Number of Brands,Category of Retailer,Category_of_Retailer
Retailer 35,17261.8884,0.0,0.0,0.0,0.0,0.0,8250.9942,0.0,0.0,10095.5248,5656.6956,0.0,41265.102999999996,4,1.0,B
Retailer 36,12345.3354,0.0,0.0,0.0,2092.7646,16156.4872,5574.6264,0.0,0.0,16055.1672,0.0,0.0,52224.3808,5,2.0,A
Retailer 37,0.0,0.0,0.0,0.0,46363.0188,0.0,0.0,6714.983,0.0,4647.5484,0.0,0.0,57725.5502,3,2.0,A
Retailer 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 39,24690.6708,0.0,0.0,0.0,0.0,0.0,8361.9396,4028.9898,25897.392000000003,0.0,11313.3912,0.0,74292.3834,5,2.0,A
Retailer 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 42,0.0,0.0,0.0,0.0,0.0,0.0,16501.9884,0.0,0.0,23797.0284,20741.2172,0.0,61040.234000000004,3,2.0,A
Retailer 43,0.0,0.0,0.0,12036.816,0.0,0.0,13825.6206,4028.9898,25897.392000000003,0.0,0.0,0.0,55788.8184,4,2.0,A
Retailer 44,12345.3354,0.0,0.0,0.0,5634.4052,31459.86,11038.3074,0.0,38846.087999999996,0.0,5656.6956,0.0,114593.4266,6,3.0,O+
Retailer 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12948.696000000002,0.0,0.0,0.0,12948.696000000002,1,1.0,B
Retailer 47,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,8057.9796,0.0,0.0,0.0,0.0,32131.6116,2,1.0,B
Retailer 48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 56,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24073.632,1,1.0,B
Retailer 57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 58,0.0,0.0,0.0,240736.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240736.32,1,3.0,O+
Retailer 59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 62,0.0,0.0,0.0,0.0,0.0,19465.5984,0.0,5371.9864,0.0,5931.7794,0.0,0.0,30769.3642,3,1.0,B
Retailer 63,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,6203.8236,0.0,30277.4556,2,1.0,B
Retailer 64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 65,17261.8884,0.0,0.0,0.0,7083.2812,0.0,0.0,0.0,0.0,0.0,6203.8236,0.0,30548.9932,3,1.0,B
Retailer 66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 67,0.0,0.0,0.0,0.0,0.0,19465.5984,0.0,2685.9932,0.0,10579.3278,0.0,0.0,32730.9194,3,1.0,B
Retailer 68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 69,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24073.632,1,1.0,B
Retailer 70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
